city,state,confirmed,deaths,estimated_population_2019
Pacujá,CE,647,11,6533.0
Palhano,CE,1460,25,9386.0
Palmácia,CE,988,23,13322.0
Paracuru,CE,5022,112,35076.0
Paraipaba,CE,2932,76,32744.0
Parambu,CE,1557,67,31521.0
Paramoti,CE,1021,19,12226.0
Pedra Branca,CE,1441,65,43258.0
Penaforte,CE,811,14,9077.0
Pentecoste,CE,3972,86,37751.0
Pereiro,CE,2316,25,16307.0
Pindoretama,CE,2329,39,20567.0
Piquet Carneiro,CE,2108,25,16959.0
Pires Ferreira,CE,1095,7,10951.0
Poranga,CE,926,13,12336.0
Porteiras,CE,1555,31,14996.0
Potengi,CE,672,6,11045.0
Potiretama,CE,823,7,6419.0
Quiterianópolis,CE,1683,51,21084.0
Quixadá,CE,9997,197,87728.0
Quixelô,CE,2651,29,16178.0
Quixeramobim,CE,9904,228,81082.0
Quixeré,CE,3942,45,22149.0
Redenção,CE,5397,103,29053.0
Reriutaba,CE,3413,32,18491.0
Russas,CE,10821,197,78194.0
Saboeiro,CE,1211,17,15819.0
Salitre,CE,1152,21,16554.0
Santa Quitéria,CE,5373,70,43703.0
Santana do Acaraú,CE,2472,87,32452.0
Santana do Cariri,CE,1362,29,17700.0
Senador Pompeu,CE,2230,62,25496.0
Senador Sá,CE,1171,13,7623.0
Sobral,CE,27550,737,208935.0
Solonópole,CE,1739,35,18324.0
São Benedito,CE,4246,68,47903.0
São Gonçalo do Amarante,CE,7260,212,48422.0
São João do Jaguaribe,CE,802,9,7645.0
São Luís do Curu,CE,1356,39,13000.0
Tabuleiro do Norte,CE,5189,71,30697.0
Tamboril,CE,2952,77,26251.0
Tarrafas,CE,663,15,8592.0
Tauá,CE,8809,187,58859.0
Tejuçuoca,CE,1808,31,19187.0
Tianguá,CE,9727,186,75946.0
Trairi,CE,2495,96,55918.0
Tururu,CE,1484,38,16271.0
Ubajara,CE,1961,42,34792.0
Umari,CE,533,10,7733.0
Umirim,CE,985,40,19825.0
Uruburetama,CE,1850,59,21850.0
Uruoca,CE,1706,31,13840.0
Varjota,CE,2595,30,18420.0
Viçosa do Ceará,CE,5189,159,60889.0
Várzea Alegre,CE,4104,78,40721.0
Abaré,BA,1162,11,20086.0
Abaíra,BA,300,12,8739.0
Acajutiba,BA,575,21,15159.0
Adustina,BA,1098,27,17040.0
Aiquara,BA,505,12,4446.0
Alagoinhas,BA,14610,325,151596.0
Alcobaça,BA,1791,30,22470.0
Almadina,BA,647,11,5464.0
Amargosa,BA,3240,57,37241.0
Amélia Rodrigues,BA,2445,51,25102.0
América Dourada,BA,964,13,16094.0
Anagé,BA,1152,30,22005.0
Andaraí,BA,952,10,13143.0
Andorinha,BA,977,17,14595.0
Angical,BA,862,20,13977.0
Anguera,BA,532,2,11221.0
Antas,BA,1319,13,19291.0
Antônio Cardoso,BA,636,11,11683.0
Antônio Gonçalves,BA,918,10,11798.0
Aporá,BA,676,19,17731.0
Apuarema,BA,777,11,7330.0
Aracatu,BA,914,18,13135.0
Araci,BA,3853,55,54379.0
Aramari,BA,694,14,11397.0
Arataca,BA,791,15,11019.0
Aratuípe,BA,499,12,8825.0
Araçás,BA,718,17,12177.0
Aurelino Leal,BA,1094,35,11531.0
Baianópolis,BA,983,20,13877.0
Baixa Grande,BA,1043,19,20468.0
Banzaê,BA,1195,9,13229.0
Barra,BA,2278,66,53578.0
Barra da Estiva,BA,2867,33,20598.0
Barra do Choça,BA,2340,36,31603.0
Barra do Mendes,BA,856,17,13865.0
Barra do Rocha,BA,416,7,5714.0
Barreiras,BA,20234,332,155439.0
Barro Alto,BA,940,14,14931.0
Barro Preto,BA,658,12,5591.0
Barrocas,BA,948,27,15978.0
Belmonte,BA,1260,26,23328.0
Belo Campo,BA,991,18,17211.0
Biritinga,BA,620,7,15979.0
Boa Nova,BA,1039,22,12633.0
Boa Vista do Tupim,BA,291,11,18576.0
Bom Jesus da Lapa,BA,6238,98,69148.0
Bom Jesus da Serra,BA,489,9,9880.0
Boninal,BA,674,9,14368.0
Bonito,BA,1091,14,16764.0
Boquira,BA,895,21,21508.0
Botuporã,BA,459,5,10211.0
Brejolândia,BA,158,11,10557.0
Brejões,BA,873,12,14295.0
Brotas de Macaúbas,BA,329,8,10231.0
Brumado,BA,9772,199,67195.0
Buerarema,BA,1445,46,18349.0
Buritirama,BA,874,24,21174.0
Caatiba,BA,959,15,6758.0
Cabaceiras do Paraguaçu,BA,796,5,18807.0
Cachoeira,BA,1770,32,33470.0
Caculé,BA,2783,21,23170.0
Caetanos,BA,785,11,14542.0
Caetité,BA,4065,43,50975.0
Cafarnaum,BA,999,24,18437.0
Cairu,BA,1585,17,18176.0
Caldeirão Grande,BA,576,6,13327.0
Camacan,BA,3075,88,31988.0
Camamu,BA,2510,58,35316.0
Camaçari,BA,25474,631,299132.0
Campo Alegre de Lourdes,BA,1093,37,28798.0
Campo Formoso,BA,5378,76,71206.0
Canarana,BA,1522,39,26176.0
Canavieiras,BA,1566,74,31099.0
Candeal,BA,661,3,8258.0
Candeias,BA,8372,195,87076.0
Candiba,BA,792,16,14319.0
Cansanção,BA,1001,39,34834.0
Canudos,BA,850,17,16668.0
Canápolis,BA,486,10,9711.0
Capela do Alto Alegre,BA,979,18,11637.0
Capim Grosso,BA,3939,36,30662.0
Caravelas,BA,1528,16,22016.0
Caraíbas,BA,365,6,8951.0
Cardeal da Silva,BA,401,6,9295.0
Carinhanha,BA,1416,33,29018.0
Casa Nova,BA,2959,72,71969.0
Castro Alves,BA,2252,41,26264.0
Catolândia,BA,238,1,3577.0
Catu,BA,6680,101,54704.0
Caturama,BA,274,7,9329.0
Caém,BA,519,7,9213.0
Central,BA,501,18,17266.0
Chorrochó,BA,349,13,11177.0
Cipó,BA,1085,15,17300.0
Coaraci,BA,1918,48,16993.0
Cocos,BA,1018,18,18777.0
Conceição da Feira,BA,1796,33,22581.0
Conceição do Almeida,BA,2678,28,17247.0
Conceição do Coité,BA,8435,46,66612.0
Conceição do Jacuípe,BA,3485,39,33153.0
Conde,BA,1105,17,25837.0
Condeúba,BA,1420,31,17247.0
Contendas do Sincorá,BA,296,6,4066.0
Coração de Maria,BA,1893,22,22605.0
Cordeiros,BA,741,6,8614.0
Coribe,BA,1185,17,14194.0
Coronel João Sá,BA,1390,18,15895.0
Correntina,BA,3426,49,32137.0
Cotegipe,BA,806,23,13782.0
Cravolândia,BA,468,2,5349.0
Cristópolis,BA,948,10,13910.0
Crisópolis,BA,445,16,21103.0
Cruz das Almas,BA,5518,69,63239.0
Curaçá,BA,1443,32,34700.0
Cândido Sales,BA,2073,53,25189.0
Cícero Dantas,BA,2411,47,32515.0
Dias d'Ávila,BA,5913,161,81089.0
Dom Basílio,BA,1079,16,12199.0
Dom Macedo Costa,BA,392,7,4058.0
Dário Meira,BA,964,20,10710.0
Elísio Medrado,BA,593,9,8122.0
Encruzilhada,BA,720,20,17006.0
Entre Rios,BA,1856,47,41780.0
Esplanada,BA,2150,35,37237.0
Euclides da Cunha,BA,3639,62,60585.0
Eunápolis,BA,13160,232,113380.0
Feira da Mata,BA,345,6,5665.0
Feira de Santana,BA,59439,1074,614872.0
Filadélfia,BA,1065,30,16377.0
Firmino Alves,BA,465,11,5617.0
Floresta Azul,BA,850,19,10629.0
Formosa do Rio Preto,BA,1529,32,25591.0
Fátima,BA,1225,14,17890.0
Gandu,BA,3062,58,32403.0
Gavião,BA,427,2,4463.0
Gentio do Ouro,BA,609,12,11233.0
Glória,BA,1212,26,15221.0
Gongogi,BA,768,18,7128.0
Governador Mangabeira,BA,1229,18,20722.0
Guajeru,BA,371,5,6937.0
Guanambi,BA,11260,134,84481.0
Guaratinga,BA,1551,44,20843.0
Heliópolis,BA,1033,13,13031.0
Iaçu,BA,1965,42,24305.0
Ibiassucê,BA,1087,5,9224.0
Ibicaraí,BA,2288,64,21689.0
Ibicoara,BA,1026,11,19571.0
Ibicuí,BA,1273,28,16198.0
Ibipeba,BA,1033,13,18211.0
Ibipitanga,BA,1303,22,14902.0
Ibiquera,BA,151,6,4044.0
Ibirapitanga,BA,1786,39,23375.0
Ibirapuã,BA,1183,18,8637.0
Ibirataia,BA,2379,42,15312.0
Ibitiara,BA,831,11,16339.0
Ibititá,BA,1498,26,17113.0
Ibotirama,BA,1363,50,26927.0
Ichu,BA,467,4,6206.0
Igaporã,BA,519,24,15640.0
Igrapiúna,BA,795,14,13226.0
Iguaí,BA,1174,39,26916.0
Ilhéus,BA,22296,579,162327.0
Importados/Indefinidos,BA,12439,304,
Inhambupe,BA,2605,43,39926.0
Ipecaetá,BA,489,13,14487.0
Ipiaú,BA,3368,84,45873.0
Ipirá,BA,2635,68,59595.0
Ipupiara,BA,271,6,9865.0
Irajuba,BA,344,2,7260.0
Iramaia,BA,450,15,8537.0
Iraquara,BA,1806,19,25216.0
